track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
3Ynx0H6idp76JCCcL8d3YA,Boy (I Love You),58lSQdKPLdPLS6A4fO5RKR,Cherie Gil,5Kc2IrvJWj08oLlNFg2o1w,290173,1996-12-15,0,0.445,0.169,7,-17.499,1,0.0301,0.809,1.52e-06,0.119,0.201,75.609,3Ynx0H6idp76JCCcL8d3YA,3Ynx0H6idp76JCCcL8d3YA
2kZ6RkIYqt0Ng9N3y5dMfr,Tuldok,5pbdyhkEpMobD6Fs6h729Q,Asin,0Ygw8WhKr4ldBXR5kIYbyh,142253,1994-10-15,0,0.621,0.398,5,-15.589,1,0.04,0.593,0.0,0.0724,0.645,85.668,2kZ6RkIYqt0Ng9N3y5dMfr,2kZ6RkIYqt0Ng9N3y5dMfr
2nOuiLZdMuv001lSz4CH1b,Kahit Konting Pagtingin,5uRUbTUQysRUR7PUy7pimM,Ric Segreto,6mywCLiVupfiCnEVMPGx4m,160293,1982-05-03,0,0.4,0.441,2,-11.962,0,0.0471,0.35,1.08e-06,0.354,0.386,137.242,2nOuiLZdMuv001lSz4CH1b,2nOuiLZdMuv001lSz4CH1b
0QrCFPsGN2mimWJvBJdChg,Sa aking pagiisa,65QcnpMJFv1yogXwoOe97v,Cinderella,5maiiPyD9dUefUzhZN3YQx,183200,2008,0,0.405,0.279,4,-11.189,1,0.0297,0.939,0.025,0.177,0.396,73.764,0QrCFPsGN2mimWJvBJdChg,0QrCFPsGN2mimWJvBJdChg
4Zopw2RMEbnMSdI7kL63BG,High School,3I5ONm7nnP1LpvqsnA5dBG,Sharon Cuneta,1IxlhxK9pY9dV4op7BuVni,228000,1994-10-14,0,0.448,0.229,0,-15.951,0,0.0353,0.899,0.000306,0.0968,0.68,144.553,4Zopw2RMEbnMSdI7kL63BG,4Zopw2RMEbnMSdI7kL63BG
4uI8EWFyVlXP6EMVGuXKo6,Kamusta Ka,5HlAsdRigFvxwPkNn4vSWz,Nonoy Zuniga,4i9JHtkuzbkME7bqOhZ4pr,205693,2008-11-20,0,0.289,0.554,0,-8.027,1,0.0324,0.463,0.742,0.0878,0.371,78.611,4uI8EWFyVlXP6EMVGuXKo6,4uI8EWFyVlXP6EMVGuXKo6
2zw00KusXD7Hh61nmt2Gew,Pinay,14xDeJRwQRbJIaSBikR4KH,Florante,6vSMthGtk4jo3BPINmhNpA,223853,2009-08-06,0,0.481,0.46,2,-6.217,0,0.0252,0.659,0.00014,0.203,0.346,100.024,2zw00KusXD7Hh61nmt2Gew,2zw00KusXD7Hh61nmt2Gew
4FTfGiQTq48uLVTRkn2IUd,Nanggigigil,7JJ3NfHRSDv3d6IBBGxtMH,Hagibis,5IoV5u7p8lOpzB4w3juven,282333,2008-05-06,0,0.547,0.835,1,-8.654,0,0.0635,0.151,1.29e-05,0.0885,0.619,132.437,4FTfGiQTq48uLVTRkn2IUd,4FTfGiQTq48uLVTRkn2IUd
28dhmzy2eDNZQgELJIix3W,Mambobola,5E5sr7RkHU6tdxk5G8zF4A,Zsa Zsa Padilla,3nX69SOu1N7DKwrARZGAFe,264693,2008-05-20,0,0.803,0.709,0,-8.196,1,0.0361,0.0671,0.0287,0.0485,0.932,133.864,28dhmzy2eDNZQgELJIix3W,28dhmzy2eDNZQgELJIix3W
4GG9zkmCfN0ESxXyErHfep,Ale,2hk1NCZ5BypYFAaygX8Ilu,Richard Reynoso,6zVn3IgBMqHu39oz7CnfjS,273066,1990-03-20,29,0.794,0.653,7,-9.154,1,0.0314,0.19,0.0,0.352,0.835,124.753,4GG9zkmCfN0ESxXyErHfep,4GG9zkmCfN0ESxXyErHfep
