popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,is_top200,predicted_top200,predicted_top200_prob
0,0.77,0.586,7,-9.902,1,0.289,0.7240000000000001,0.0,0.0832,0.6729999999999999,120.169,0,0,0.8
0,0.691,0.653,8,-11.982,1,0.0418,0.14400000000000002,0.0352,0.0794,0.17,120.039,0,0,0.8
21,0.807,0.6970000000000001,9,-6.936,1,0.0811,0.384,0.0,0.188,0.469,120.041,0,0,1.0
6,0.833,0.8,11,-6.172999999999999,1,0.0869,0.373,0.7659999999999999,0.108,0.612,119.987,0,0,0.8
3,0.5670000000000001,0.584,1,-11.573,1,0.0396,0.000169,1.48e-06,0.125,0.0339,120.028,0,0,0.8
46,0.833,0.321,7,-12.115,1,0.155,0.62,0.000191,0.161,0.5489999999999999,119.951,0,0,0.6
34,0.89,0.6659999999999999,10,-6.292999999999998,1,0.0711,0.575,0.0,0.0983,0.568,120.079,0,0,0.6
31,0.782,0.6940000000000001,2,-7.049,1,0.308,0.211,0.0,0.165,0.606,119.94,0,0,1.0
35,0.685,0.711,8,-8.232999999999999,1,0.0285,0.0712,0.0,0.0644,0.871,125.071,0,0,0.8
46,0.672,0.637,2,-8.191,1,0.0286,0.0984,4.59e-06,0.418,0.659,119.895,0,0,0.6
0,0.703,0.624,0,-9.945,1,0.0371,0.421,1.11e-05,0.0588,0.7659999999999999,121.153,0,0,1.0
0,0.721,0.741,2,-6.04,1,0.0507,0.467,0.0,0.0712,0.958,120.009,0,0,0.6
0,0.506,0.532,6,-14.390999999999998,1,0.0951,0.232,6.440000000000001e-05,0.111,0.446,116.666,0,0,0.6
0,0.655,0.353,4,-12.145,1,0.0355,0.172,0.0,0.147,0.0784,119.976,0,0,0.6
0,0.401,0.578,2,-8.658,1,0.0279,0.0239,0.0,0.0885,0.345,124.012,0,0,1.0
26,0.433,0.173,5,-13.068,1,0.0353,0.901,0.0109,0.049,0.0863,119.957,0,0,0.8
27,0.708,0.481,2,-11.376,1,0.0287,0.418,0.0957,0.0936,0.5539999999999999,120.013,0,0,0.8
39,0.602,0.741,10,-12.655,1,0.0297,0.00398,1.65e-06,0.151,0.55,126.958,0,0,0.6
19,0.612,0.463,9,-9.602,1,0.028,0.255,5.290000000000001e-05,0.228,0.483,125.167,0,0,0.6
27,0.722,0.682,2,-7.2970000000000015,1,0.043,0.524,0.0,0.0279,0.958,120.033,0,0,1.0
59,0.505,0.28300000000000003,9,-8.37,1,0.0429,0.8270000000000001,0.0,0.0732,0.316,123.964,0,0,1.0
37,0.547,0.8240000000000001,2,-5.497999999999998,1,0.0342,0.003,0.000138,0.0865,0.5379999999999999,124.742,0,0,0.6
25,0.431,0.887,4,-4.271,0,0.0919,0.00268,2.28e-06,0.145,0.465,126.58,0,0,0.6
44,0.691,0.799,2,-4.107,1,0.0303,0.5379999999999999,0.0,0.141,0.5489999999999999,126.669,0,0,0.6
0,0.703,0.578,0,-10.849,1,0.0372,0.403,2.85e-05,0.058,0.7659999999999999,121.16,0,0,1.0
0,0.6,0.797,0,-7.234,1,0.0863,0.204,9.12e-06,0.104,0.7609999999999999,122.848,0,0,1.0
47,0.525,0.72,5,-6.3870000000000005,1,0.0356,0.00063,0.00182,0.28300000000000003,0.521,119.964,0,0,0.8
